0_x,0_y,0_score,1_x,1_y,1_score,2_x,2_y,2_score,3_x,3_y,3_score,4_x,4_y,4_score,5_x,5_y,5_score,6_x,6_y,6_score,7_x,7_y,7_score,8_x,8_y,8_score,9_x,9_y,9_score,10_x,10_y,10_score,11_x,11_y,11_score,12_x,12_y,12_score,13_x,13_y,13_score,14_x,14_y,14_score,15_x,15_y,15_score,16_x,16_y,16_score,17_x,17_y,17_score,type_index,type_str,file_name
0.5,0.29,0.95,0.5,0.39,0.79,0.45,0.38,0.87,0.44,0.49,0.86,0.44,0.58,0.7,0.55,0.39,0.81,0.56,0.5,0.75,0.55,0.6,0.9,0.47,0.58,0.69,0.45,0.74,0.83,0.44,0.88,0.85,0.53,0.59,0.75,0.54,0.74,0.81,0.55,0.88,0.84,0.5,0.28,0.83,0.51,0.28,0.79,0.48,0.3,0.78,0.53,0.3,0.83,0,stand,./input/stand/Colour 35-fps-97.png
0.54,0.24,0.9,0.53,0.35,0.87,0.48,0.35,0.78,0.45,0.46,0.88,0.45,0.55,0.95,0.58,0.35,0.87,0.6,0.46,0.82,0.59,0.55,0.83,0.5,0.54,0.64,0.49,0.71,0.84,0.49,0.85,0.8,0.56,0.54,0.68,0.54,0.71,0.85,0.53,0.85,0.81,0.53,0.23,0.91,0.55,0.23,0.81,0.51,0.25,0.93,0.56,0.26,0.77,0,stand,./input/stand/Colour 169 (19)-stand.png
0.48,0.29,0.85,0.48,0.39,0.77,0.43,0.39,0.75,0.4,0.49,0.71,0.4,0.59,0.81,0.52,0.39,0.8,0.54,0.49,0.79,0.54,0.59,0.91,0.44,0.6,0.71,0.43,0.76,0.79,0.43,0.89,0.73,0.5,0.6,0.69,0.5,0.76,0.81,0.51,0.91,0.76,0.47,0.28,0.93,0.49,0.28,0.91,0.45,0.29,0.87,0.51,0.29,0.94,0,stand,./input/stand/Colour 42 (9)-stand.png
0.48,0.29,0.9,0.46,0.39,0.84,0.42,0.39,0.83,0.4,0.51,0.86,0.39,0.61,0.83,0.51,0.39,0.76,0.53,0.51,0.73,0.54,0.61,0.81,0.44,0.61,0.73,0.44,0.77,0.78,0.44,0.9,0.75,0.5,0.61,0.7,0.5,0.77,0.78,0.5,0.91,0.72,0.47,0.27,0.94,0.49,0.28,0.86,0.45,0.29,0.92,0.5,0.3,0.68,0,stand,./input/stand/Colour 58 (11)-stand.png
0.49,0.3,0.92,0.49,0.4,0.94,0.44,0.4,0.79,0.43,0.51,0.79,0.42,0.6,0.73,0.54,0.39,0.8,0.56,0.49,0.76,0.56,0.59,0.86,0.46,0.61,0.65,0.46,0.76,0.74,0.46,0.89,0.69,0.53,0.61,0.72,0.53,0.76,0.77,0.53,0.9,0.78,0.48,0.29,0.89,0.5,0.29,0.95,0.47,0.3,0.82,0.52,0.3,0.76,0,stand,./input/stand/Colour 42-fps-55.png
0.46,0.3,0.77,0.46,0.38,0.83,0.42,0.38,0.9,0.4,0.47,0.87,0.4,0.55,0.95,0.5,0.38,0.9,0.52,0.47,0.87,0.53,0.56,0.81,0.43,0.57,0.73,0.43,0.71,0.73,0.43,0.83,0.78,0.49,0.57,0.77,0.49,0.71,0.77,0.49,0.84,0.87,0.45,0.29,0.97,0.47,0.29,0.96,0.44,0.3,0.72,0.48,0.29,0.8,0,stand,./input/stand/Colour 64 (16)-stand.png
0.54,0.25,0.83,0.53,0.34,0.71,0.48,0.34,0.7,0.45,0.45,0.79,0.45,0.55,0.88,0.59,0.34,0.76,0.61,0.46,0.69,0.62,0.55,0.91,0.5,0.55,0.7,0.5,0.71,0.75,0.5,0.85,0.74,0.56,0.56,0.71,0.55,0.71,0.85,0.54,0.86,0.76,0.52,0.24,0.87,0.55,0.24,0.87,0.5,0.26,0.87,0.56,0.25,0.85,0,stand,./input/stand/Colour 148 (18)-stand.png
0.44,0.26,0.82,0.44,0.35,0.84,0.39,0.35,0.92,0.38,0.46,0.82,0.38,0.56,0.89,0.5,0.35,0.74,0.52,0.45,0.74,0.53,0.55,0.89,0.41,0.58,0.75,0.42,0.74,0.73,0.43,0.89,0.71,0.49,0.58,0.74,0.49,0.74,0.81,0.5,0.89,0.67,0.43,0.24,0.94,0.45,0.24,0.96,0.42,0.26,0.84,0.47,0.26,0.79,0,stand,./input/stand/Colour 64 (21)-stand.png
0.5,0.28,0.8,0.5,0.37,0.75,0.45,0.36,0.79,0.44,0.47,0.7,0.44,0.57,0.76,0.55,0.38,0.88,0.56,0.48,0.76,0.55,0.57,0.81,0.46,0.56,0.65,0.47,0.72,0.84,0.46,0.87,0.7,0.52,0.56,0.7,0.52,0.72,0.82,0.52,0.88,0.78,0.49,0.27,0.94,0.51,0.27,0.86,0.48,0.28,0.6,0.53,0.28,0.78,0,stand,./input/stand/Colour 46-golf-130.png
0.55,0.24,0.91,0.54,0.34,0.78,0.49,0.34,0.79,0.47,0.46,0.84,0.46,0.55,0.86,0.59,0.35,0.75,0.61,0.46,0.84,0.61,0.57,0.85,0.5,0.53,0.68,0.5,0.71,0.69,0.5,0.86,0.62,0.57,0.53,0.67,0.56,0.72,0.82,0.56,0.88,0.83,0.54,0.23,0.86,0.56,0.24,0.85,0.52,0.25,0.89,0.57,0.26,0.76,0,stand,./input/stand/Colour 190 (22)-stand.png
